"Qubit","T1 (us)","T2 (us)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","RX error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","CZ error ","RZZ error ","Gate time (ns)","Operational"
"11","317.5271217283367","39.21683624351857","0.001953125","0.00341796875","0.00048828125","2600","0.0005031023354872183","0.0005031023354872183","0","0.0005031023354872183","0.0005031023354872183","11_18:0.0015433624761931608;11_10:0.004816950849799523;11_12:0.0045408359077780125","11_18:0.0018755735818449248;11_10:0.0021666026679180994;11_12:0.0018211097975920076","11_18:68;11_10:68;11_12:68","true"
"12","279.38607973676835","209.47716712475443","0.006103515625","0.00927734375","0.0029296875","2600","0.0001525727233793274","0.0001525727233793274","0","0.0001525727233793274","0.0001525727233793274","12_13:0.003918618222908704;12_11:0.0045408359077780125","12_13:0.00867776926004804;12_11:0.0018211097975920076","12_13:68;12_11:68","true"
"13","253.5717012311036","146.40710277136228","0.001708984375","0.00244140625","0.0009765625","2600","0.00046793853491590063","0.00046793853491590063","0","0.00046793853491590063","0.00046793853491590063","13_12:0.003918618222908704;13_14:0.0015890555497771464","13_12:0.00867776926004804;13_14:0.0015669393246704466","13_12:68;13_14:68","true"
"14","272.15676875699404","224.60255308348232","0.0048828125","0.0078125","0.001953125","2600","0.00026978425990184393","0.00026978425990184393","0","0.00026978425990184393","0.00026978425990184393","14_15:0.0022779375682783765;14_13:0.0015890555497771464","14_15:0.002717655414605419;14_13:0.0015669393246704466","14_15:68;14_13:68","true"
"15","399.48768184646616","308.6172672668691","0.00439453125","0.0087890625","0","2600","0.00015438246045219937","0.00015438246045219937","0","0.00015438246045219937","0.00015438246045219937","15_14:0.0022779375682783765;15_19:0.003740132453778716","15_14:0.002717655414605419;15_19:0.005017284329329796","15_14:68;15_19:68","true"
"16","208.30924094663263","120.40550962403358","0.00830078125","0.01025390625","0.00634765625","2600","0.0003272546482381394","0.0003272546482381394","0","0.0003272546482381394","0.0003272546482381394","16_23:0.0012731708325436908;16_3:0.0016028767869636362","16_23:0.0021491497136456317;16_3:0.0034253081672367958","16_23:68;16_3:68","true"
"17","344.17853389083797","82.07956709984575","0.00390625","0.0068359375","0.0009765625","2600","0.00013618925401592697","0.00013618925401592697","0","0.00013618925401592697","0.00013618925401592697","17_7:0.0014546990615144084;17_27:0.0014260914699716631","17_7:0.0033723533873476763;17_27:0.003061218317591541","17_7:68;17_27:68","true"
"18","164.9778443472426","245.9607431118164","0.00390625","0.0078125","0","2600","0.00015667671939686664","0.00015667671939686664","0","0.00015667671939686664","0.00015667671939686664","18_11:0.0015433624761931608;18_31:0.001015676525508269","18_11:0.0018755735818449248;18_31:0.001707435398251217","18_11:68;18_31:68","true"
"19","253.99609453786505","197.12918862919182","0.00390625","0.00634765625","0.00146484375","2600","0.00020037337203182004","0.00020037337203182004","0","0.00020037337203182004","0.00020037337203182004","19_35:0.06217241603620971;19_15:0.003740132453778716","19_35:1;19_15:0.005017284329329796","19_35:96;19_15:68","true"
"20","222.11834780213198","174.63737437928927","0.015625","0.03076171875","0.00048828125","2600","0.00011518119595785076","0.00011518119595785076","0","0.00011518119595785076","0.00011518119595785076","20_21:0.002513887500296297","20_21:0.001705927265385071","20_21:68","true"
